scores,labels,files
-0.87935865,0.0,LA_T_1138215
-0.89070165,0.0,LA_T_1271820
-0.89029765,0.0,LA_T_1272637
-0.8834336,0.0,LA_T_1276960
-0.88688874,0.0,LA_T_1341447
-0.8926894,0.0,LA_T_1363611
-0.9204602,0.0,LA_T_1596451
-0.89465004,0.0,LA_T_1608170
-0.88385963,0.0,LA_T_1684951
-0.90635073,0.0,LA_T_1699801
-0.8928771,0.0,LA_T_1703395
-0.91718644,0.0,LA_T_1736342
-0.88908,0.0,LA_T_1779188
-0.92012197,0.0,LA_T_1786825
-0.89529264,0.0,LA_T_1787246
-0.82286894,0.0,LA_T_1905558
-0.90027857,0.0,LA_T_2205687
-0.80987465,0.0,LA_T_2220901
-0.87057316,0.0,LA_T_2361751
-0.91014683,0.0,LA_T_2373806
-0.92478216,0.0,LA_T_2417641
-0.9052853,0.0,LA_T_2520083
-0.8551321,0.0,LA_T_2562689
-0.8718836,0.0,LA_T_2564579
-0.90569586,0.0,LA_T_2732709
-0.83959365,0.0,LA_T_2759900
-0.81283164,0.0,LA_T_2838981
-0.8855039,0.0,LA_T_2873890
-0.9150957,0.0,LA_T_2938316
-0.8005667,0.0,LA_T_3131990
-0.8983389,0.0,LA_T_3141223
-0.89935446,0.0,LA_T_3167734
-0.8996668,0.0,LA_T_3187715
-0.8009223,0.0,LA_T_3215578
-0.92106545,0.0,LA_T_3247389
-0.81229126,0.0,LA_T_3346004
-0.85977274,0.0,LA_T_3441957
-0.77444524,0.0,LA_T_3561136
-0.84800994,0.0,LA_T_3576775
-0.8193073,0.0,LA_T_3580508
-0.86918795,0.0,LA_T_3635733
-0.9039979,0.0,LA_T_3636245
-0.9331316,0.0,LA_T_3810183
-0.8540542,0.0,LA_T_3849267
-0.8748646,0.0,LA_T_3995089
-0.9378606,0.0,LA_T_3999087
-0.89048773,0.0,LA_T_3999267
-0.90624416,0.0,LA_T_4053835
-0.87515956,0.0,LA_T_4118798
-0.88138556,0.0,LA_T_4155454
-0.88503873,0.0,LA_T_4179989
-0.9028565,0.0,LA_T_4197307
-0.8899007,0.0,LA_T_4237787
-0.89952207,0.0,LA_T_4239283
-0.8886545,0.0,LA_T_4244329
-0.88234067,0.0,LA_T_4339311
-0.8684849,0.0,LA_T_4362109
-0.8985065,0.0,LA_T_4428691
-0.91246235,0.0,LA_T_4752788
-0.8797972,0.0,LA_T_4756464
-0.85312724,0.0,LA_T_4822766
-0.8816185,0.0,LA_T_5096578
-0.9165955,0.0,LA_T_5161420
-0.85319054,0.0,LA_T_5191549
-0.9244188,0.0,LA_T_5337549
-0.8679408,0.0,LA_T_5387852
-0.91427624,0.0,LA_T_5521272
-0.87966454,0.0,LA_T_5761909
